Filename,Average matched points,Average distance,Average process time (Î¼s),Size
scene_10.jpeg,0.000000,0.186566,1275688,956x1276
scene_100.jpeg,0.000000,0.208761,1415650,1276x956
scene_101.jpeg,0.000000,0.214162,1941912,956x1276
scene_102.jpeg,0.657895,0.178262,2386603,1276x956
scene_103.jpeg,0.755263,0.205250,1465135,956x1276
scene_104.jpeg,0.841530,0.155759,1697849,1276x956
scene_105.jpeg,0.600000,0.187883,904895,956x1276
scene_11.jpeg,0.000000,0.232825,367423,397x394
scene_12.jpeg,0.905694,0.157229,969937,1276x956
scene_13.jpeg,0.024631,0.207192,1007914,1276x956
scene_14.jpeg,0.063415,0.201411,1412944,1276x956
scene_15.jpeg,0.622905,0.204891,699532,956x1276
scene_16.jpeg,0.380165,0.208508,917449,956x1276
scene_17.jpeg,0.000000,0.217497,928467,1276x956
scene_18.jpeg,0.000000,0.170715,1447185,1276x956
scene_19.jpeg,0.000000,0.291764,458169,956x1276
scene_2.jpeg,0.000000,0.213500,623419,956x1276
scene_20.jpeg,0.000000,0.195059,1070080,1276x956
scene_21.jpeg,0.797101,0.184064,710795,1276x956
scene_22.jpeg,0.763672,0.161466,1007380,1276x956
scene_23.jpeg,0.000000,0.214902,637026,956x1276
scene_24.jpeg,0.740984,0.188479,1264317,1276x956
scene_25.jpeg,0.792976,0.165314,1036246,1276x956
scene_26.jpeg,0.025751,0.208286,709149,1276x956
scene_27.jpeg,0.648199,0.209443,610726,956x1276
scene_28.jpeg,0.087227,0.213578,545369,956x1276
scene_29.jpeg,0.335821,0.201327,821019,956x1276
scene_3.jpeg,0.159151,0.193879,669297,956x1276
scene_30.jpeg,0.857534,0.179779,949988,956x1276
scene_31.jpeg,0.002710,0.195190,812098,1276x956
scene_32.jpeg,0.548951,0.278920,449117,956x1276
scene_33.jpeg,0.676630,0.182206,1127767,1276x956
scene_34.jpeg,0.818182,0.192972,708466,956x1276
scene_35.jpeg,0.242958,0.218138,495851,1276x956
scene_36.jpeg,0.000000,0.200667,645485,1276x956
scene_37.jpeg,0.833698,0.184779,682024,956x1276
scene_38.jpeg,0.000000,0.220761,590858,956x1276
scene_39.jpeg,0.653199,0.179388,1147710,1276x956
scene_4.jpeg,0.833040,0.171229,874575,956x1276
scene_40.jpeg,0.739806,0.179555,689143,956x1276
scene_41 resized 2.jpeg,0.925546,0.162315,1205158,1500x2002
scene_41 resized 3.jpeg,0.961006,0.150880,7111801,4000x5339
scene_41 resized.jpeg,0.000000,0.271218,347547,300x400
scene_41.jpeg,0.905000,0.171458,652191,956x1276
scene_42.jpeg,0.858108,0.157497,664138,1276x956
scene_43.jpeg,0.000000,0.197296,684424,956x1276
scene_44.jpeg,0.000000,0.212393,611388,1276x956
scene_45.jpeg,0.000000,0.206049,915192,956x1276
scene_46.jpeg,0.786787,0.172732,816484,956x1276
scene_47.jpeg,0.884337,0.192167,583554,956x1276
scene_48.jpeg,0.523013,0.183231,1215887,1276x956
scene_49.jpeg,0.000000,0.208093,429418,522x609
scene_5.jpeg,0.842975,0.187130,672299,956x1276
scene_50.jpeg,0.057471,0.239775,502454,956x1276
scene_51.jpeg,0.814318,0.202625,711924,956x1276
scene_52.jpeg,0.246795,0.242406,526178,956x1276
scene_53.jpeg,0.926503,0.178257,742496,1276x956
scene_54.jpeg,0.000000,0.241209,423527,406x753
scene_55.jpeg,0.000000,0.201651,1190856,1276x956
scene_56.jpeg,0.806147,0.199118,636375,956x1276
scene_57.jpeg,0.008621,0.206678,653222,1276x956
scene_58.jpeg,0.995253,0.185422,631662,956x1276
scene_59.jpeg,0.000000,0.202921,947139,956x1276
scene_6.jpeg,0.041152,0.200689,710550,1276x956
scene_60.jpeg,0.000000,0.241526,525158,1276x956
scene_61.jpeg,0.245000,0.219815,973696,1276x956
scene_62.jpeg,0.000000,0.212912,597731,956x1276
scene_63.jpeg,0.000000,0.204669,557588,956x1276
scene_64.jpeg,0.901569,0.178594,703892,956x1276
scene_65.jpeg,0.766010,0.180281,1211319,1276x956
scene_66.jpeg,0.000000,0.241437,1169795,1276x956
scene_67.jpeg,0.000000,0.218032,466970,626x1280
scene_68.jpeg,0.529630,0.296430,528614,1276x956
scene_69.jpeg,0.029240,0.191901,1240318,1276x956
scene_7.jpeg,0.409524,0.208091,939507,956x1276
scene_71.jpeg,0.000000,0.192045,977376,1276x956
scene_72.jpeg,0.000000,0.210851,513923,956x1276
scene_73.jpeg,0.081081,0.215004,1052222,1276x956
scene_74.jpeg,0.000000,0.260327,513485,956x1276
scene_75.jpeg,0.020747,0.212653,594023,956x1276
scene_76.jpeg,0.000000,0.199930,1126366,956x1276
scene_77.jpeg,0.000000,0.192012,836587,956x1276
scene_78.jpeg,0.881002,0.175760,739988,956x1276
scene_79.jpeg,0.000000,0.198817,1230760,1276x956
scene_8.jpeg,0.000000,0.292363,514404,1276x956
scene_80.jpeg,0.043307,0.208395,743136,956x1276
scene_81.jpeg,0.000000,0.211025,625353,956x1276
scene_82.jpeg,0.000000,0.207376,1034275,956x1276
scene_83.jpeg,0.197640,0.225527,658593,956x1276
scene_84.jpeg,0.000000,0.203864,1232856,1276x956
scene_85.jpeg,0.131455,0.203454,633541,956x1276
scene_86.jpeg,0.952782,0.180691,722952,956x1276
scene_87.jpeg,0.536657,0.215354,525685,956x1276
scene_88.jpeg,0.210526,0.189072,837167,956x1276
scene_89.jpeg,0.000000,0.199467,1548848,1276x956
scene_9 resized 2.jpeg,0.934673,0.167418,1079810,1400x1869
scene_9 resized 3.jpeg,0.960951,0.164281,10235677,5000x6674
scene_9 resized.jpeg,0.000000,0.295224,285819,200x267
scene_9.jpeg,0.872633,0.180862,621258,956x1276
scene_90.jpeg,0.852632,0.159578,823244,1276x956
scene_91.jpeg,0.641509,0.192162,789926,1276x956
scene_92.jpeg,0.870968,0.186012,778136,1276x956
scene_93.jpeg,0.095930,0.187429,722244,1276x956
scene_94.jpeg,0.963636,0.178349,1084488,956x1276
scene_95.jpeg,0.604046,0.179939,1399480,1276x956
scene_96.jpeg,0.560897,0.213975,520004,956x1276
scene_97.jpeg,0.769841,0.178551,1123273,1276x956
scene_99.jpeg,0.000000,0.197568,679726,956x1276
